ts_ns,ax,ay,az,gesture,trial_id
1140409203000,-1.8076,0.0024,7.6878,figure8,50
1140429229000,-1.573,-0.5339,7.8506,figure8,50
1140449219000,-1.2617,-0.9792,7.9823,figure8,50
1140469217000,-1.1372,-1.7334,8.2145,figure8,50
1140489238000,-0.8835,-2.2194,8.1834,figure8,50
1140509213000,-0.5555,-2.5738,7.9823,figure8,50
1140529219000,-0.2682,-2.794,8.0206,figure8,50
1140549202000,-0.6656,-3.0071,8.0685,figure8,50
1140569141000,-0.9529,-3.0957,7.9847,figure8,50
1140589117000,-1.0056,-3.2848,8.1379,figure8,50
1140609203000,-0.8428,-3.5937,8.7508,figure8,50
1140629195000,-0.4812,-3.6847,9.4164,figure8,50
1140649154000,-0.4908,-3.5913,9.9048,figure8,50
1140669201000,-0.1987,-3.4046,10.3214,figure8,50
1140689141000,-0.3926,-3.8954,10.58,figure8,50
1140709122000,-0.5938,-4.5897,11.1091,figure8,50
1140729181000,-0.3831,-4.6687,11.7124,figure8,50
1140749186000,-0.1628,-4.3694,11.7962,figure8,50
1140769119000,-0.1389,-3.9456,11.5784,figure8,50
1140789117000,-0.3687,-3.5123,11.6238,figure8,50
1140809158000,-0.5291,-2.9449,11.4682,figure8,50
1140829213000,-0.6943,-2.3727,10.975,figure8,50
1140849206000,-0.4334,-1.8866,10.501,figure8,50
1140869152000,-0.2825,-1.5323,9.9742,figure8,50
1140889184000,-0.2897,-0.7183,9.5026,figure8,50
1140909232000,-0.2442,0.2107,9.1435,figure8,50
1140929211000,-0.2011,0.6345,8.7436,figure8,50
1140949201000,-0.0622,0.8284,8.758,figure8,50
1140969221000,-0.1125,0.8188,8.5976,figure8,50
1140989183000,-0.2394,1.1492,8.3749,figure8,50
1141009219000,-0.4932,1.9034,8.0182,figure8,50
1141029175000,-0.6536,2.5426,8.0134,figure8,50
1141049146000,-0.9553,2.7749,7.8051,figure8,50
1141069175000,-1.1756,2.7892,7.9631,figure8,50
1141089205000,-1.2306,3.0095,7.9248,figure8,50
1141109178000,-1.3192,3.7876,7.7285,figure8,50
1141129141000,-1.1061,3.9648,7.4172,figure8,50
1141149178000,-0.8643,3.1819,7.5034,figure8,50
1150909289000,-2.3535,0.2562,9.323,figure8,51
1150929229000,-2.3679,0.3376,9.2919,figure8,51
1150949184000,-2.4828,0.3304,9.2033,figure8,51
1150969214000,-2.5426,0.2586,9.2536,figure8,51
1150989179000,-2.5019,0.1867,9.3446,figure8,51
1151009114000,-2.4181,0.1844,9.3613,figure8,51
1151029150000,-2.3894,0.1628,9.3637,figure8,51
1151049184000,-2.32,0.0718,9.2703,figure8,51
1151069183000,-2.2889,-0.0072,9.3278,figure8,51
1151089262000,-2.2051,-0.2777,9.6031,figure8,51
1151109161000,-2.5642,-0.4645,9.4763,figure8,51
1151129215000,-2.6983,-0.565,9.5744,figure8,51
1151149123000,-2.7366,-0.5459,9.5409,figure8,51
1151169153000,-2.7892,-0.4693,9.3254,figure8,51
1151189206000,-2.9497,-0.5363,9.2033,figure8,51
1151209114000,-2.9066,-0.6512,9.2775,figure8,51
1151229219000,-2.7988,-0.4908,9.0597,figure8,51
1151249114000,-2.6671,-0.5483,9.1842,figure8,51
1151269203000,-2.6576,-0.5674,9.2799,figure8,51
1151289171000,-2.8252,-0.5483,9.1794,figure8,51
1151309206000,-2.8994,-0.5315,9.232,figure8,51
1151329136000,-2.8108,-0.3783,9.177,figure8,51
1151349141000,-2.6049,0.0072,9.0477,figure8,51
1151369180000,-2.4852,0.3256,9.1051,figure8,51
1151389162000,-2.4565,0.3448,9.177,figure8,51
1151409198000,-2.7054,0.419,9.1578,figure8,51
1151429181000,-2.9808,0.4381,9.2943,figure8,51
1151449215000,-3.067,0.4046,9.5122,figure8,51
1151469184000,-3.0478,0.328,9.8474,figure8,51
1151489219000,-2.964,0.1006,10.1418,figure8,51
1151509192000,-2.9066,0.0072,10.3334,figure8,51
1151529115000,-3.0358,-0.079,10.331,figure8,51
1151549239000,-2.7414,-0.0503,10.3549,figure8,51
1151569120000,-2.557,0.1341,10.2304,figure8,51
1151589206000,-2.545,0.5219,9.8474,figure8,51
1151609177000,-2.6384,0.9553,9.4212,figure8,51
1151629238000,-3.0406,1.1636,9.2608,figure8,51
1151649243000,-3.5027,1.3623,9.165,figure8,51
1151669136000,-3.6943,1.6831,8.8753,figure8,51
1151689158000,-3.6248,1.7238,8.8849,figure8,51
1151709203000,-3.2848,1.9201,8.6072,figure8,51
1151729142000,-3.0622,2.0494,8.4659,figure8,51
1151749177000,-3.1149,1.8699,8.4084,figure8,51
1151769220000,-3.2058,1.7645,8.2624,figure8,51
1151789118000,-3.462,1.6161,8.1954,figure8,51
1151809152000,-3.5267,1.4605,8.3893,figure8,51
1151829137000,-3.8858,1.3575,8.3318,figure8,51
1151849185000,-4.4173,1.1564,8.3845,figure8,51
1151869215000,-4.7094,1.1396,8.4108,figure8,51
1151889238000,-4.7908,1.1612,8.5042,figure8,51
1151909100000,-4.7477,1.0487,8.509,figure8,51
1155210284000,-3.3543,-0.5387,8.6479,figure8,52
1155230150000,-3.3639,-0.5171,8.7221,figure8,52
1155250224000,-3.2585,-0.3974,8.8346,figure8,52
1155270201000,-3.1053,-0.3855,8.9399,figure8,52
1155290237000,-3.0765,-0.2634,8.8921,figure8,52
1155310117000,-3.0694,-0.1365,8.916,figure8,52
1155330158000,-3.0239,0.0862,8.8083,figure8,52
